,Hotel Name,Address,Rating (5),Price (2)
1,A,"AB - Absolute BarbecuesShri Devi Park Hotel,Thyagaraya Nagar, Central Chennai",4.2,1600
2,A,"AB - Absolute BarbecuesThyagaraya Nagar, Central Chennai",4.2,1600
3,Bazaar - All Day Diner,"DG by GRT Hotels,Thyagaraya Nagar, Central Chennai",4.1,2000
4,Arab Street,"SA Nagar, West Chennai",4.2,800
5,Royal Indianaa,"IT Accord Metropolitan Hotel,Thyagaraya Nagar, Central Chennai",4.6,3200
6,Smoke Hub Barbeque,"BT Nagar, Central Chennai",3.7,1800
7,Pakwan Chennai,"CT Nagar, Central Chennai",4.5,800
8,Kuuraku,"KH Green Park,Vadapalani, West Chennai",4.3,1000
9,Hotel Saravana Bhavan,"BT Nagar, Central Chennai",4.0,600
10,Pulusu,"PT Nagar, Central Chennai",4.0,800
11,Madras Coffee House,"HT Nagar, Central Chennai",5.0,200
12,Take 2,"2T Cine City hotel,Kodambakkam, West Chennai",4.3,1700
13,Idlies,"IT Nagar, Central Chennai",4.5,300
14,Barbeque Nation,"NT Nagar, Central Chennai",4.2,1800
15,Puducherry Hotel Sri Kamatchi,"KA Nagar, West Chennai",4.0,600
16,Big Bang Theory - Bar & Kitchen,"KB Star Boutique Hotel,Kodambakkam, West Chennai",4.1,2000
17,Murugan Idli Shop,"ST Nagar, Central Chennai",3.0,300
18,Murugan Idli Shop,"SW Mambalam, West Chennai",3.2,300
19,Spice Bar,"BT Nagar, Central Chennai",4.3,1500
20,Pizza Hut - 1,"17 Nagar, West Chennai",4.1,800
21,Cholan Mess,MK West Chennai,3.5,500
22,Watson's,"WT Nagar, Central Chennai",4.2,1600
23,Murugan Idli Shop,"ST Nagar, Central Chennai",3.0,300
24,Murugan Idli Shop,"ST Nagar, Central Chennai",3.3,300
25,Curly Cravings,CK West Chennai,4.1,500
26,Chai Waale,"WT Nagar, Central Chennai",4.0,200
27,Juice Forest,"FA Nagar, West Chennai",4.1,300
28,Cafe Central,"CT Nagar, Central Chennai",4.3,800
29,The Godown Bar,"BT Nagar, Central Chennai",4.1,1800
30,Black And White,"WT Residency,Thyagaraya Nagar, Central Chennai",4.4,1500
31,Pavilion,"PT Residency,Thyagaraya Nagar, Central Chennai",4.1,1500
32,Chin Chin,"CT Residency,Thyagaraya Nagar, Central Chennai",4.4,1500
33,Southern Station,"ST Nagar, Central Chennai",4.0,800
34,Cake Waves,"WA Nagar, West Chennai",5.0,500
35,Makers Of Milkshakes,MK West Chennai,3.0,400
36,Lexxus,"LH Benzz Park,Thyagaraya Nagar, Central Chennai",4.0,1800
37,Ferraree,"FH Benzz Park,Thyagaraya Nagar, Central Chennai",4.0,900
38,BR Mathsya,"MT Nagar, Central Chennai",4.0,1000
39,Timesquare Restobar,"RT Nagar, Central Chennai",3.8,1200
40,Cibo,"CA Nagar, West Chennai",3.6,800
41,Paati Veedu,"VT Nagar, Central Chennai",4.0,2000
42,Dindigul Thalappakatti,"TT Nagar, Central Chennai",4.1,700
43,Trella,"TJ Hotel,Thyagaraya Nagar, Central Chennai",4.1,1500
44,Texas Bar & Kitchen,"KJ Hotel,Thyagaraya Nagar, Central Chennai",4.0,1500
45,Madras Coffee House,HV West Chennai,5.0,200
46,Dindigul Thalappakatti,"TA Nagar, West Chennai",4.2,700
