,Hotel Name,Address,Rating (5),Price (2)
0,A,"AB - Absolute BarbecuesShri Devi Park Hotel,Thyagaraya Nagar, Central Chennai",4.2,1600
1,A,"AB - Absolute BarbecuesThyagaraya Nagar, Central Chennai",4.2,1600
2,Bazaar - All Day Diner,"DG by GRT Hotels,Thyagaraya Nagar, Central Chennai",4.1,2000
3,Arab Street,"SA Nagar, West Chennai",4.2,800
4,Royal Indianaa,"IT Accord Metropolitan Hotel,Thyagaraya Nagar, Central Chennai",4.6,3200
5,Pakwan Chennai,"CT Nagar, Central Chennai",4.5,800
6,Kuuraku,"KH Green Park,Vadapalani, West Chennai",4.3,1000
7,Hotel Saravana Bhavan,"BT Nagar, Central Chennai",4.0,600
8,Pulusu,"PT Nagar, Central Chennai",4.0,800
9,Madras Coffee House,"HT Nagar, Central Chennai",5.0,200
10,Take 2,"2T Cine City hotel,Kodambakkam, West Chennai",4.3,1700
11,Idlies,"IT Nagar, Central Chennai",4.5,300
12,Barbeque Nation,"NT Nagar, Central Chennai",4.2,1800
13,Puducherry Hotel Sri Kamatchi,"KA Nagar, West Chennai",4.0,600
14,Big Bang Theory - Bar & Kitchen,"KB Star Boutique Hotel,Kodambakkam, West Chennai",4.1,2000
15,Spice Bar,"BT Nagar, Central Chennai",4.3,1500
16,Pizza Hut - 1,"17 Nagar, West Chennai",4.1,800
17,Watson's,"WT Nagar, Central Chennai",4.2,1600
18,Curly Cravings,CK West Chennai,4.1,500
19,Chai Waale,"WT Nagar, Central Chennai",4.0,200
20,Juice Forest,"FA Nagar, West Chennai",4.1,300
21,Cafe Central,"CT Nagar, Central Chennai",4.3,800
22,The Godown Bar,"BT Nagar, Central Chennai",4.1,1800
23,Black And White,"WT Residency,Thyagaraya Nagar, Central Chennai",4.4,1500
24,Pavilion,"PT Residency,Thyagaraya Nagar, Central Chennai",4.1,1500
25,Chin Chin,"CT Residency,Thyagaraya Nagar, Central Chennai",4.4,1500
26,Southern Station,"ST Nagar, Central Chennai",4.0,800
27,Cake Waves,"WA Nagar, West Chennai",5.0,500
28,Lexxus,"LH Benzz Park,Thyagaraya Nagar, Central Chennai",4.0,1800
29,Ferraree,"FH Benzz Park,Thyagaraya Nagar, Central Chennai",4.0,900
30,BR Mathsya,"MT Nagar, Central Chennai",4.0,1000
31,Paati Veedu,"VT Nagar, Central Chennai",4.0,2000
32,Dindigul Thalappakatti,"TT Nagar, Central Chennai",4.1,700
33,Trella,"TJ Hotel,Thyagaraya Nagar, Central Chennai",4.1,1500
34,Texas Bar & Kitchen,"KJ Hotel,Thyagaraya Nagar, Central Chennai",4.0,1500
35,Madras Coffee House,HV West Chennai,5.0,200
36,Dindigul Thalappakatti,"TA Nagar, West Chennai",4.2,700
37,The Brick Oven,"OT Accord Metropolitan Hotel,Thyagaraya Nagar, Central Chennai",4.4,4000
38,Hotel Saravana Bhavan,"BA Nagar, West Chennai",4.2,600
39,Kommune,"KT Nagar, Central Chennai",4.1,1900
40,J.,"JH by GRT Hotels,Thyagaraya Nagar, Central Chennai",4.6,2500
41,Bike and Barrel Bar,"BT Residency Towers,Thyagaraya Nagar, Central Chennai",4.1,2000
42,Dank,"DT Nagar, Central Chennai",4.3,2800
43,Salt,"SF Vijaya Mall,Vadapalani, West Chennai",4.1,1200
44,Up North,"NT Raintree,Teynampet, Central Chennai",4.4,2500
45,The Kitchen,"KT Raintree,Teynampet, Central Chennai",4.1,2500
46,Cafe De Bangkok,BN Central Chennai,4.3,1000
47,La Cabana,"CH Park Elanza,Nungambakkam, Central Chennai",4.5,2000
48,Ministry Of Drinks,DN Central Chennai,4.0,1800
49,Chennai Darbar,"DA Nagar, West Chennai",4.3,700
50,Double Roti,RT Central Chennai,4.5,900
51,Murugan Idli Shop,SV West Chennai,4.7,300
52,Food Exchange,"EN Chennai,Nandanam, Central Chennai",4.2,1400
53,Lower Deck,"DH Park Elanza,Nungambakkam, Central Chennai",4.5,2700
54,Lobby Lounge,"LH Regency Hotel,Teynampet, Central Chennai",4.5,1000
55,Stix,"SH Regency Hotel,Teynampet, Central Chennai",4.4,1000
56,Sandy's Chocolate Laboratory,LT Central Chennai,4.6,1200
57,Koox,"KN Chennai,Nandanam, Central Chennai",4.1,2000
58,Paprika Cafe,"CC by Marriott,Teynampet, Central Chennai",4.0,2500
59,Tepin Chilli,"CH Park Elanza,Nungambakkam, Central Chennai",4.1,1200
60,Mainland China,CT Central Chennai,4.1,1200
61,The Thief,TN Central Chennai,4.1,1600
62,Madras Coffee House,HA Central Chennai,5.0,200
63,Masaledaar Dhaba,DS West Chennai,4.4,600
64,Copper Kitchen,KS West Chennai,4.3,1000
65,Ciclo Cafe,CK Central Chennai,4.5,1700
66,Mezze,MA Central Chennai,4.5,1000
67,Locofeast,LN Central Chennai,4.2,1000
68,The Westminster,"WC Plaza Chennai Adyar Park,Alwarpet, Central Chennai",4.8,2000
69,The Fat Boy,BA Central Chennai,4.5,1500
70,Cafe Cake,CB Central Chennai,4.5,1000
71,Superstar Pizza,PA Central Chennai,4.5,800
72,Hotel Saravana Bhavan,BS West Chennai,4.0,600
73,Cappuccino,"CC Plaza Chennai Adyar Park,Alwarpet, Central Chennai",4.3,1800
74,Off The Record,RN Central Chennai,4.2,2500
75,Benjarong,BA Central Chennai,4.6,1200
